Stakeholder,Detailed Description,RevenuesInMillion,RevenueChange,ProfitsInMillon,AssetsInMillion,ProfitChange,TotalEmployees,MetaIndustry,MetaPreviousRank,MetaRank,CEO,Sector,Industry,LocationHeadquater,WebsiteURL,YearsOnGlobal500List,TotalStakeholderEquity,ProfitAsPercentageRevenue,ProfitAsPercentageAsset,ProfitAsPercentageStockHolderEquity
Munich Re Group,"Munich Re Group or Munich Reinsurance Company is a reinsurance company based in Munich, Germany. It is one of the world’s leading reinsurers. ERGO, a Munich Re subsidiary, is the Group’s primary insurance arm. Munich Re's shares are listed on all German stock exchanges and on the Xetra electronic trading system",68700,-1.1,2853.1,282435,-17.2,43428,Insurance: Property and Casualty (Stock),106,109,Joachim Wenning,Financial Sector,Insurance: Property and Casualty (Stock),"Munich, Germany",http://www.munichre.com,23,33238,33238,1,8.6
Panasonic,"Panasonic Corporation, formerly known as Matsushita Electric Industrial Co., Ltd., is a Japanese multinational electronics corporation headquartered in Kadoma, Osaka, Japan.",67775,6.7,1378.4,53702,0.2,257533,"Electronics, Electrical Equip.",128,110,Kazuhiro Tsuga,Technology,"Electronics, Electrical Equip.","Osaka, Japan",http://www.panasonic.com/global,23,14109,14109,2.6,9.8
BP,"BP plc is a British multinational oil and gas company headquartered in London, England. It is one of the world's seven oil and gas supermajors",186606,-17.4,115,263316,,74500,Petroleum Refining,10,12,Robert W. Dudley,Energy,Petroleum Refining,"London, Britain",http://www.bp.com,23,95286,95286,,0.1
Nippon Life Insurance,"Nippon Life Insurance Company, also known as Nissay or Nihon Seimei is the largest Japanese life insurance company by revenue. The company was founded in 1889 as the Nippon Life Assurance Co., Inc. In structure it is a mutual company. It first paid policyholder dividends in 1898.",67388,0.4,2786.9,650429,-17.1,85171,"Insurance: Life, Health (Mutual)",114,111,Yoshinobu Tsutsui,Financial Sector,"Insurance: Life, Health (Mutual)","Osaka, Japan",http://www.nissay.co.jp,23,17261,17261,0.4,16.1
Zurich Insurance Group,"Zurich Insurance Group Ltd. is a Swiss insurance company, commonly known as Zurich, headquartered in Zurich, Switzerland. The company is Switzerland's largest insurer.",67245,11,3211,382679,74.3,52473,Insurance: Property and Casualty (Stock),141,112,Mario Greco,Financial Sector,Insurance: Property and Casualty (Stock),"Zurich, Switzerland",http://www.zurich.com,23,30660,30660,0.8,10.5
Itau Unibanco Holding,"Itau Unibanco is a Brazilian publicly quoted bank with headquarters in Sao Paulo, Brazil. The bank is the result of the merger of Banco Itau and Unibanco, which occurred on November 4, 2008 to form Itau Unibanco Holding S.A, the largest financial conglomerate in the Southern Hemisphere.",66876,21.4,6666.4,415972,-13.7,94779,Banks: Commercial and Savings,159,113,Candido Botelho Bracher,Financial Sector,Banks: Commercial and Savings,"Sao Paulo, Brazil",http://www.itau.com.br,4,37680,37680,1.6,17.7
People's Insurance Company of China,"People's Insurance Company of China Holdings Company is a state-owned company in the People's Republic of China. The holding company promotes its subsidiaries, PICC Asset Management Company Limited, and PICC Property and Casualty Company Limited.",66732,3.3,2144.3,134132,-31,188570,Insurance: Property and Casualty (Stock),119,114,Wu Yan,Financial Sector,Insurance: Property and Casualty (Stock),"Beijing, China",http://www.picc.com.cn,8,18145,18145,1.6,11.8
China National Offshore Oil,CNOOC Limited is China's largest producer of offshore crude oil and natural gas. It is a major subsidiary of China National Offshore Oil Corporation and has been listed in Hong Kong SEHK: 883 and in New York NYSE: CEO since February 2001.,65892,-2.8,1752.4,166595,-62,100821,"Mining, Crude-Oil Production",109,115,Yang Hua,Energy,"Mining, Crude-Oil Production","Beijing, China",http://www.cnooc.com.cn,11,70827,70827,1.1,2.5
Marubeni,"Marubeni Corporation is a sogo shosha headquartered in Nihonbashi, Chuo, Tokyo, Japan. It is the fifth-largest sogo shosha and has leading market shares in cereal and paper pulp trading as well as a strong electrical and industrial plant business.",65792,8.2,1433.7,61904,176.4,39952,Trading,138,116,Fumiya Kokubu,Wholesalers & Retailers,Trading,"Tokyo, Japan",http://www.marubeni.com,23,15113,15113,2.3,9.5
Deutsche Post DHL Group,"The Deutsche Post AG, operating under the trade name Deutsche Post DHL Group, is a German postal service and international courier service company, the world's largest. With its headquarters in Bonn, the corporation has 510,000 employees.",65787,-3.8,2918.3,40387,70.8,459262,"Mail, Package, and Freight Delivery",108,117,Frank Appel,Transportation,"Mail, Package, and Freight Delivery","Bonn, Germany",http://www.dpdhl.com,23,11693,11693,7.2,25
Freddie Mac,"The Federal Home Loan Mortgage Corporation, known as Freddie Mac, is a public government-sponsored enterprise, headquartered in Tysons Corner, Virginia.",65665,3.4,7815,2023376,22.6,5982,Diversified Financials,124,118,Donald H. Layton,Financial Sector,Diversified Financials,"McLean, VA",http://www.freddiemac.com,21,5075,5075,0.4,154
China Post Group,"China Post, full name China Post Group Corporation is the state-owned enterprise operating the official postal service of China, which provides the service in mainland China, excluding its special administrative regions, Hong Kong and Macau, which have their own postal service independent to the mainland's.",65605,-5.8,4980.3,1221649,18.7,941211,"Mail, Package, and Freight Delivery",105,119,Li Guohua,Transportation,"Mail, Package, and Freight Delivery","Beijing, China",http://www.chinapost.com.cn,7,43114,43114,0.4,11.6
China Minmetals,China Minmetals Corporation is a Chinese metals and mineral trading company headquartered in Beijing. It is a state-owned corporation under direct supervision of the State-owned Assets Supervision and Administration Commission.,65547,105.6,-446.7,109334,,212406,Metals,323,120,He Wenbo,Materials,Metals,"Beijing, China",http://www.minmetals.com,11,4631,4631,-0.4,-9.6
UnitedHealth Group,"UnitedHealth Group Inc. is an American for-profit managed health care company based in Minnetonka, Minnesota. As of 2018, it is ranked #5 on the Fortune 500 rankings of the largest United States corporations by total revenue.",184840,17.7,7017,122810,20.7,230000,Health Care: Insurance and Managed Care,17,13,Stephen J. Hemsley,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, MN",http://www.unitedhealthgroup.com,21,38274,38274,5.7,18.3
Lloyds Banking Group,Lloyds Banking Group plc is a major British financial institution formed through the acquisition of HBOS by Lloyds TSB in 2009.,65208,38.2,2784.4,1010245,111.9,70433,Banks: Commercial and Savings,193,121,Antonio Horta-Osorio,Financial Sector,Banks: Commercial and Savings,"London, Britain",http://www.lloydsbankinggroup.com,23,59327,59327,0.3,4.7
Lowe,"Lowe's Companies, Inc., doing business as Lowe's, is an American retail company specializing in home improvement. Headquartered in Mooresville, North Carolina the company operates a chain of retail stores in the United States, Canada, and Mexico.",65017,10.1,3093,34408,21.5,240000,Specialty Retailers,148,122,Robert A. Niblock,Wholesalers & Retailers,Specialty Retailers,"Mooresville, NC",http://www.lowes.com,20,6434,6434,9,48.1
Metro,"Metro-Goldwyn-Mayer Studios Inc. is an American media company, involved primarily in the production and distribution of feature films and television programs.",64853,-9,665,28039,-13.6,196540,Food and Drug Stores,101,123,Olaf Koch,Health Care,Food and Drug Stores,"Dusseldorf, Germany",http://www.metrogroup.de,22,5978,5978,2.4,11.1
Dell Technologies,"Dell is an American multinational computer technology company based in Round Rock, Texas, United States, that develops, sells, repairs, and supports computers and related products and services.",64806,18.1,-1672,118206,,138000,"Computers, Office Equipment",0,124,Michael S. Dell,Technology,"Computers, Office Equipment","Round Rock, TX",http://www.delltechnologies.com,17,13243,13243,-1.4,-12.6
China FAW Group,"FAW Group Corporation is a Chinese state-owned automotive manufacturing company headquartered in Changchun, Jilin, China. Its principal products are automobiles; buses; light, medium, and heavy-duty trucks; and auto parts.",64784,3.1,2411.3,54772,-25.9,122323,Motor Vehicles and Parts,130,125,Xu Ping,Transportation,Motor Vehicles and Parts,"Changchun, China",http://www.faw.com.,13,24489,24489,4.4,9.8
BASF,"BASF SE is a German chemical company and the largest chemical producer in the world. The BASF Group comprises subsidiaries and joint ventures in more than 80 countries and operates six integrated production sites and 390 other production sites in Europe, Asia, Australia, the Americas and Africa.",63641,-18.6,4485.3,80675,1.4,109543,Chemicals,88,126,Kurt W. Bock,Industrial Sector,Chemicals,"Ludwigshafen, Germany",http://www.basf.com,23,33545,33545,5.6,13.4
JXTG Holdings,"JXTG Holdings is a Japanese petroleum and metals conglomerate headquartered in Tokyo, Japan. In 2012 the multinational corporation consisted of 24,691 employees worldwide and, as of March 2013, JX Holdings was the forty third largest company in the world by revenue.",63629,1.8,1477.3,59767,,26247,Petroleum Refining,131,127,Yukio Uchida,Energy,Petroleum Refining,"Tokyo, Japan",http://www.hd.jxtg-group.co.jp,23,12829,12829,2.5,11.5
MetLife,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company, better known as MetLife, and its affiliates.",63476,-9.3,800,898764,-84.9,58000,"Insurance: Life, Health (stock)",104,128,Steven A. Kandarian,Financial Sector,"Insurance: Life, Health (stock)","New York, NY",http://www.metlife.com,23,67309,67309,0.1,1.2
Tewoo Group,"Tewoo Group(also known as Tianjin Material and Equipment Group Corporation) is the largest state-owned material circulation enterprise in Tianjin. The group registered capital of 2.46 billion Yuan , total assets of 98 billion Yuan, 266 owned enterprises and more than 6,000 staffs, operates.",63324,-1.4,141.7,34713,-11.6,17353,Trading,122,129,Wang Yuzhu,Wholesalers & Retailers,Trading,"Tianjin, China",http://www.tewoo.com,6,3465,3465,0.4,4.1
Aetna,"Aetna Inc. is an American managed health care company that sells traditional and consumer directed health care insurance and related services, such as medical, pharmaceutical, dental, behavioral health, long-term care, and disability plans, primarily through employer-paid insurance and benefit programs, and through Medicare.",63155,4.7,2271,69146,-5,49500,Health Care: Insurance and Managed Care,142,130,Mark T. Bertolini,Health Care,Health Care: Insurance and Managed Care,"Hartford, CT",http://www.aetna.com,17,17881,17881,3.3,12.7
CVS Health,"CVS Health Corporation is an American retail pharmacy and health care company headquartered in Woonsocket, Rhode Island. Consumer Value Stores began in 1963 with three partners, brothers Stanley and Sidney Goldstein and partner Ralph Hoagland, who grew the venture from a parent company, Mark Steven, Inc., that helped retailers manage their health and beauty aid product lines.",177526,15.8,5317,94462,1.5,204000,Health Care: Pharmacy and Other Services,18,14,Larry J. Merlo,Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, RI",http://www.cvshealth.com,22,36830,36830,5.6,14.4
PepsiCo,"PepsiCo, Inc. is an American multinational food, snack, and beverage corporation headquartered in Harrison, New York, in the hamlet of Purchase.",62799,-0.4,6329,74129,16.1,264000,Food Consumer Products,127,131,Indra K. Nooyi,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, NY",http://www.pepsico.com,23,11095,11095,8.5,57
ENI,"Eni S.p.A. is an Italian multinational oil and gas company headquartered in Rome. Considered one of the global supermajors, it has operations in 79 countries, and is currently world's 11th largest industrial company with a market capitalization of 68 billion euros, as of August 14, 2013.",62694,-32.6,-1619,131349,,33536,Petroleum Refining,65,132,Claudio Descalzi,Energy,Petroleum Refining,"Rome, Italy",http://www.eni.com,23,55934,55934,-1.2,-2.9
China Telecommunications,"China, officially the People's Republic of China, is a country in East Asia and the world's most populous country, with a population of around 1.404 billion.",62387,1,1764.6,115819,2.9,413536,Telecommunications,132,133,Yang Jie,Telecommunications,Telecommunications,"Beijing, China",http://www.chinatelecom.com.cn,18,50919,50919,1.5,3.5
Archer Daniels Midland,"The Archer Daniels Midland Company is an American global food processing and commodities trading corporation, headquartered in Chicago, Illinois.",62346,-7.9,1279,39769,-30.8,31800,Food Production,112,134,Juan R. Luciano,"Food, Beverages & Tobacco",Food Production,"Chicago, IL",http://www.adm.com,23,17173,17173,3.2,7.4
China North Industries Group,"The China Ordnance Industries Group Corporation Limited, also known as China North Industries Group Corporation Limited, officially abbreviated as Norinco, is a Chinese defense corporation",61326,-0.5,853,53140,6.2,234771,Aerospace and Defense,134,135,Yin Jiaxu,Aerospace & Defense,Aerospace and Defense,"Beijing, China",http://www.norincogroup.com.cn,8,13401,13401,1.6,6.4
COFCO,"COFCO, full name China National Cereals, Oils and Foodstuffs Corporation, is one of China's state-owned food processing holding companies. COFCO Group is China's largest food processor, manufacturer and trader.",61265,-5,204.5,72072,-23,101708,Trading,121,136,Yu Xubo,Wholesalers & Retailers,Trading,"Beijing, China",http://www.cofco.com,23,11029,11029,0.3,1.9
Beijing Automotive Group,"BAIC Group is a Chinese state-owned enterprise and holding company of several automobile and machine manufacturers located in Beijing, China.",61130,11.3,1260.6,57783,14.9,134765,Motor Vehicles and Parts,160,137,Xu Heyi,Transportation,Motor Vehicles and Parts,"Beijing, China",http://www.baicgroup.com.cn,5,8037,8037,2.2,15.7
UPS,"The UPS Store network is the world's largest franchisor of retail shipping, postal, printing and business service centers. Today, there are more than 5,000 independently owned The UPS Store locations in the U.S., Puerto Rico, and Canada.",60906,4.4,3431,40377,-29.2,335520,"Mail, Package, and Freight Delivery",149,138,David P. Abney,Transportation,"Mail, Package, and Freight Delivery","Atlanta, GA",http://www.ups.com,23,405,405,8.5,847.2
Anbang Insurance Group,Ming An Company Limited is an insurance company in Hong Kong. It provides general insurance and reinsurance in Hong Kong and the People's Republic of China.,60800,124,3883.9,430040,0.9,40707,"Insurance: Life, Health (Mutual)",0,139,Wu Xiaohui,Financial Sector,"Insurance: Life, Health (Mutual)","Beijing, China",http://www.anbanggroup.com,1,20372,20372,0.9,19.1
Peugeot,"Peugeot is a French automotive manufacturer, part of Groupe PSA.The family business that preceded the current Peugeot company was founded in 1810, and manufactured coffee mills and bicycles. ",59749,-1.5,1913.1,47620,91.8,175341,Motor Vehicles and Parts,140,140,Carlos Tavares,Transportation,Motor Vehicles and Parts,"Paris, France",http://www.groupe-psa.com,23,13348,13348,4,14.3
Samsung Electronics,"Samsung Electronics Co., Ltd. is a South Korean multinational electronics company headquartered in Suwon, South Korea. Due to some circular ownership, it is the flagship company of the Samsung chaebol, accounting for 70% of the group's revenue in 2012. ",173957,-2,19316.5,217104,16.8,325000,"Electronics, Electrical Equip.",13,15,Oh-Hyun Kwon,Technology,"Electronics, Electrical Equip.","Suwon, South Korea",http://www.samsung.com,23,154376,154376,8.9,12.5
Albertsons Companies,"Albertsons Companies LLC is an American grocery company founded and headquartered in Boise, Idaho. It is privately owned and operated by investors, including Cerberus Capital Management",59678,1.6,-373.3,23755,,273000,Food and Drug Stores,0,141,Robert G. Miller,Health Care,Food and Drug Stores,"Boise, ID",http://www.albertsons.com,13,1371,1371,-1.6,-27.2
Dai-ichi Life Holdings,"Dai-ichi Life Holdings, Inc, or Dai-ichi Life for short, is the third-largest life insurer in Japan by revenue, behind Japan Post Insurance and Nippon Life.",59590,-2.5,2134.5,466617,43.5,62606,"Insurance: Life, Health (stock)",135,142,Seiji Inagaki,Financial Sector,"Insurance: Life, Health (stock)","Tokyo, Japan",http://www.dai-ichi-life-hd.com,23,11675,11675,0.5,18.3
Sinochem Group,Sinochem Corporation is a Chinese conglomerate primarily engaged in the production and trading of chemicals and fertilizer and exploration and production of oil.,59533,-1.9,468,57484,,60576,Trading,139,143,Ning Gaoning,Wholesalers & Retailers,Trading,"Beijing, China",http://www.sinochem.com,22,9195,9195,0.8,5.1
Intel,"Intel Corporation is an American multinational corporation and technology company headquartered in Santa Clara, California, in the Silicon Valley.",59387,7.3,10316,113327,-9.7,106000,Semiconductors and Other Electronic Components,158,144,Brian M. Krzanich,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",http://www.intel.com,23,66226,66226,9.1,15.6
Mitsubishi,The Mitsubishi Group is a group of autonomous Japanese multinational companies in a variety of industries.,59303,2.8,4063.5,141402,,77164,Trading,151,145,Takehiko Kakiuchi,Wholesalers & Retailers,Trading,"Tokyo, Japan",http://www.mitsubishicorp.com,23,44137,44137,2.9,9.2
Auchan Holding,"It is historically descended from the Mitsubishi zaibatsu, a unified company which existed from 1870, founded by Iwasaki Yatarc to 1947 and was disbanded during the occupation of Japan following World War II",58862,-2.2,652.4,38537,13.5,342709,Food and Drug Stores,144,146,Wilhelm Hubner,Health Care,Food and Drug Stores,"Croix, France",http://www.auchanholding.com,21,10593,10593,1.7,6.2
Aegon,"Aegon N.V. is a multinational life insurance, pensions and asset management company headquartered in The Hague, Netherlands. As of December 31, 2017, Aegon companies employed approximately 28,318 people worldwide, serving millions of customers.",58789,50.5,483.3,448666,-38.7,29380,"Insurance: Life, Health (stock)",253,147,Alexander R. Wynaendts,Financial Sector,"Insurance: Life, Health (stock)","The Hague, Netherlands",http://www.aegon.com,22,25647,25647,0.1,1.9
Prudential Financial,"Prudential Financial, Inc. is an American Fortune Global 500 and Fortune 500 company whose subsidiaries provide insurance, investment management, and other financial products and services to both retail and institutional customers throughout the United States and in over 30 other countries.",58779,2.9,4368,783962,-22.6,49739,"Insurance: Life, Health (stock)",152,148,John R. Strangfeld,Financial Sector,"Insurance: Life, Health (stock)","Newark, NJ",http://www.prudential.com,23,45863,45863,0.6,9.5
Vodafone Group,"Vodafone Group plc is a British multinational telecommunications conglomerate, with headquarters in London and Newbury, Berkshire. It predominantly operates services in the regions of Asia, Africa, Europe, and Oceania. Among mobile operator groups globally, Vodafone ranked 4th in the number of mobile customers as of 2018. Vodafone owns and operates networks in 25 countries, and has partner networks in 47 further countries. Its Vodafone Global Enterprise division provides telecommunications and IT services to corporate clients in 150 countries. Vodafone has a primary listing on the London Stock Exchange and is a constituent of the FTSE 100 Index.",58611,-5,-6904,165420,,111556,Telecommunications,133,149,Vittorio Colao,Telecommunications,Telecommunications,"Newbury, Britain",http://www.vodafone.com,18,77211,77211,-4.2,-8.9
Unilever,"Unilever is a British-Dutch transnational consumer goods company co-headquartered in London, United Kingdom and Rotterdam, Netherlands. Its products include food and beverages, cleaning agents, beauty products, and personal care products. It is Europe seventh most valuable company. Unilever is one of the oldest multinational companies; its products are available in around 190 countries.",58292,-1.4,5732.7,59512,5.3,168832,Household and Personal Products,147,150,Paul Polman,Wholesalers & Retailers,Household and Personal Products,"London, Britain",http://www.unilever.com,23,17247,17247,9.6,33.2
Glencore,"Glencore plc is a British‚ a swiss multinational commodity trading and mining company with headquarters in Baar, Switzerland, and a registered office in Saint Helier, Jersey. ",173883,2,1379,124600,,93123,"Mining, Crude-Oil Production",14,16,Ivan Glasenberg,Energy,"Mining, Crude-Oil Production","Baar, Switzerland",http://www.glencore.com,7,44243,44243,1.1,3.1
Banco do Brasil,"Banco do Brasil S.A. is the largest bank by assets in Brazil and all of Latin America. The bank, headquartered in Brazil, was founded in 1808 and is the oldest active bank in Brazil, even older than the country's central bank. ",58093,-13.4,2013.8,426416,-52.3,100622,Banks: Commercial and Savings,115,151,Paulo Rogerio Caffarelli,Financial Sector,Banks: Commercial and Savings,"Brasilia, Brazil",http://www.bb.com.br,23,26551,26551,0.5,7.6
Pemex,"Petroleos Mexicanos, which translates to Mexican Petroleum, but is trademarked and better known as Pemex, is the Mexican state-owned petroleum company, created in 1938 by nationalization or expropriation of all private, foreign, and domestic oil companies at that time.",57774,-21.4,-10256.3,113115,,125689,"Mining, Crude-Oil Production",98,152,Jose Antonio Gonzalez Anaya,Energy,"Mining, Crude-Oil Production","Mexico City, Mexico",http://www.pemex.com,23,-59909,-59909,-9.1,
Telefonica,"Telefonica, S.A. is a Spanish multinational telecommunications company headquartered in Madrid, Spain. It is one of the largest telephone operators and mobile network providers in the world.",57544,-5.5,2619.7,130396,283.4,127323,Telecommunications,137,153,Jose Maria Alvarez-Pallete Lopez,Telecommunications,Telecommunications,"Madrid, Spain",http://www.telefonica.com,23,19149,19149,2,13.7
Banco Bradesco,Bradesco is one of the biggest banking and financial services companies in Brazil. Bradesco was the largest private bank in Brazil until Banco Italy and Unibanco merged in 2009.,57443,31.3,5127.9,366418,-5.7,94541,Banks: Commercial and Savings,209,154,Luiz Carlos Trabuco Cappi,Financial Sector,Banks: Commercial and Savings,"Osasco, Brazil",http://www.bradesco.com.br,21,32369,32369,1.4,15.8
United Technologies,"United Technologies Corporation is an American multinational conglomerate headquartered in Farmington, Connecticut. It researches, develops, and manufactures products in numerous areas, including aircraft engines, aerospace systems, HVAC, elevators and escalators, fire and security, building systems, and industrial products, among others.",57244,-6.2,5055,89706,-33.6,201600,Aerospace and Defense,136,155,Gregory J. Hayes,Aerospace & Defense,Aerospace and Defense,"Farmington, CT",http://www.utc.com,23,27579,27579,5.6,18.3
ArcelorMittal,ArcelorMittal S.A. is an Indian multinational steel manufacturing corporation headquartered in Luxembourg City. It was formed in 2006 from the takeover and merger of Arcelor by Indian-owned Mittal Steel.,56791,-10.7,1779,75142,,198517,Metals,123,156,Lakshmi N. Mittal,Materials,Metals,"Luxembourg, Luxembourg",http://www.arcelormittal.com,13,30135,30135,2.4,5.9
Renault,"Groupe Renault is a French multinational automobile manufacturer established in 1899. The company produces a range of cars and vans, and in the past has manufactured trucks, tractors, tanks, buses/coaches and autorail vehicles.",56667,12.7,3780.9,107681,20.7,124849,Motor Vehicles and Parts,178,157,Carlos Ghosn,Transportation,Motor Vehicles and Parts,"Boulogne-Billancourt, France",http://www.groupe.renault.com,23,32423,32423,3.5,11.7
Rosneft Oil,"PJSC Rosneft Oil Company is a Russian integrated energy company headquartered in the Russian capital of Moscow. It is specializing on exploration, extraction, production, refinement, transport, and sale of petroleum, natural gas, and petroleum products",56553,-12.7,2705.1,180756,-53.4,295800,Petroleum Refining,118,158,Igor I. Sechin,Energy,Petroleum Refining,"Moscow, Russia",http://www.rosneft.com,12,54227,54227,1.5,5
Shandong Weiqiao Pioneering Group,"Shandong Weiqiao Venture Group Co., Ltd. is located at the southern end of Lubei Plain.It is a production base with 11 sets of textiles. Large-scale enterprises integrating dyeing and finishing, clothing, home textiles, and thermo electricity.",56174,5.9,1217.2,31641,8.6,135393,Textiles,163,159,Zhang Shiping,Industrial Sector,Textiles,"Shandong, China",http://www.weiqiaocy.com,6,9438,9438,3.8,12.9
Marathon Petroleum,"Marathon Petroleum Corporation is an American petroleum refining, marketing, and transportation company headquartered in Findlay, Ohio. The company was a wholly owned subsidiary of Marathon Oil until a corporate spin-off in 2011.",55858,-13.5,1174,44413,-58.8,44460,Petroleum Refining,120,160,Gary R. Heminger,Energy,Petroleum Refining,"Findlay, OH",http://www.marathonpetroleum.com,6,13557,13557,2.6,8.7
Daimler,"Daimler AG is a German multinational automotive corporation, headquartered in Stuttgart, Baden-Württemberg. Daimler-Benz was formed with the merger of Benz & Cie and Daimler Motoren Gesellschaft in 1926",169483,2.2,9428.4,256262,0.9,282488,Motor Vehicles and Parts,16,17,Dieter Zetsche,Transportation,Motor Vehicles and Parts,"Stuttgart, Germany",http://www.daimler.com,23,61116,61116,3.7,15.4
Disney,"The Walt Disney Company, commonly known as Walt Disney or simply Disney, is an American diversified multinational mass media and entertainment conglomerate headquartered at the Walt Disney Studios in Burbank, California.",55632,6,9391,92033,12,195000,Entertainment,164,161,Robert A. Iger,Mass and Media Communication,Entertainment,"Burbank, CA",http://www.disney.com,23,43265,43265,10.2,21.7
Aviation Industry Corp. of China,"Aviation Industry Corporation of China is a Chinese state-owned aerospace and defence conglomerate. Being one of the premier defence and aerospace companies in the world, it is ranked 159th in the Fortune Global 500 lists, and has over 100 subsidiaries, 27 listed companies and 500,000 employees across the globe.",55306,-8.2,464.2,124892,-47.4,457097,Aerospace and Defense,143,162,Tan Ruisong,Aerospace & Defense,Aerospace and Defense,"Beijing, China",http://www.avic.com,9,24345,24345,0.4,1.9
